Validator,PT_VERSION,2.11.0
Validator,HIP_VERSION,702
Validator,HIPBLASLT_VERSION,100200-2a3887e159
Validator,GCN_ARCH_NAME,gfx1151
Validator,ROCBLAS_VERSION,5.3.0.2a3887e159
GemmAndBiasTunableOp_float_TN,tn_1024_1000_12544_ld_12544_12544_1024,Default,77.281
GemmAndBiasTunableOp_float_TN,tn_1024_1000_1024_ld_1024_1024_1024,Gemm_Hipblaslt_1285,6.47008
GemmAndBiasTunableOp_float_TN,tn_91_1000_1024_ld_1024_1024_91,Gemm_Hipblaslt_1287,1.27659
GemmAndBiasTunableOp_float_TN,tn_364_1000_1024_ld_1024_1024_364,Gemm_Hipblaslt_1286,3.68833
GemmAndBiasTunableOp_float_TN,tn_128_100_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.27509
GemmAndBiasTunableOp_float_TN,tn_2_100_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0498298
GemmAndBiasTunableOp_float_TN,tn_4_100_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0454468
GemmAndBiasTunableOp_float_TN,tn_2304_1370_768_ld_768_768_2304,Gemm_Hipblaslt_1286,6.18184
GemmStridedBatchedTunableOp_float_TN,tn_1370_1370_64_B_12_ld_768_768_1370,Gemm_Rocblas_-1162085757,7.70405
GemmStridedBatchedTunableOp_float_NN,nn_64_1370_1370_B_12_ld_2304_1370_64,Gemm_Rocblas_-1162085061,4.51479
GemmAndBiasTunableOp_float_TN,tn_768_1370_768_ld_768_768_768,Gemm_Hipblaslt_1285,3.06364
GemmAndBiasTunableOp_float_TN,tn_3072_1370_768_ld_768_768_3072,Gemm_Hipblaslt_1287,10.3373
GemmAndBiasTunableOp_float_TN,tn_768_1370_3072_ld_3072_3072_768,Gemm_Hipblaslt_1287,9.67842
GemmAndBiasTunableOp_Half_TN,tn_2304_50_768_ld_768_768_2304,Gemm_Hipblaslt_1139,0.170914
GemmStridedBatchedTunableOp_float_TN,tn_50_50_64_B_12_ld_768_768_50,Gemm_Rocblas_-1162085757,0.0469644
GemmStridedBatchedTunableOp_float_NN,nn_64_50_50_B_12_ld_768_50_64,Gemm_Rocblas_-1162085061,0.038137
GemmAndBiasTunableOp_Half_TN,tn_768_50_768_ld_768_768_768,Default,0.043562
GemmAndBiasTunableOp_Half_TN,tn_3072_50_768_ld_768_768_3072,Gemm_Hipblaslt_1183,0.385736
GemmAndBiasTunableOp_Half_TN,tn_768_50_3072_ld_3072_3072_768,Gemm_Hipblaslt_1066,0.0315053
GemmTunableOp_Half_NN,nn_512_1_768_ld_512_768_512,Gemm_Rocblas_-1162084875,0.0272049
GemmAndBiasTunableOp_float_TN,tn_128_35_576_ld_576_576_128,Gemm_Hipblaslt_1285,0.0923884
GemmAndBiasTunableOp_float_TN,tn_2_35_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0297516
GemmAndBiasTunableOp_float_TN,tn_4_35_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0281911
GemmAndBiasTunableOp_float_TN,tn_128_73_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.101302
GemmAndBiasTunableOp_float_TN,tn_2_73_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.029568
GemmAndBiasTunableOp_float_TN,tn_4_73_128_ld_128_128_4,Gemm_Hipblaslt_1287,0.0227135
GemmAndBiasTunableOp_float_TN,tn_256_1_1152_ld_1152_1152_256,Gemm_Hipblaslt_1286,0.235981
GemmAndBiasTunableOp_float_TN,tn_2_1_256_ld_256_256_2,Gemm_Hipblaslt_1284,0.0503933
GemmAndBiasTunableOp_float_TN,tn_4_1_256_ld_256_256_4,Gemm_Hipblaslt_1286,0.0396006
GemmAndBiasTunableOp_float_TN,tn_10_1_256_ld_256_256_10,Gemm_Hipblaslt_1286,0.042625
GemmAndBiasTunableOp_float_TN,tn_128_48_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.0249141
GemmAndBiasTunableOp_float_TN,tn_2_48_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0237836
GemmAndBiasTunableOp_float_TN,tn_4_48_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0237299
GemmAndBiasTunableOp_float_TN,tn_128_46_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.0411559
GemmAndBiasTunableOp_float_TN,tn_2_46_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0288556
GemmAndBiasTunableOp_float_TN,tn_4_46_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0305163
GemmAndBiasTunableOp_float_TN,tn_128_112_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.101171
GemmAndBiasTunableOp_float_TN,tn_2_112_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0286035
GemmAndBiasTunableOp_float_TN,tn_4_112_128_ld_128_128_4,Gemm_Hipblaslt_1285,0.0241359
GemmAndBiasTunableOp_float_TN,tn_256_5_1152_ld_1152_1152_256,Gemm_Hipblaslt_1286,0.230772
GemmAndBiasTunableOp_float_TN,tn_2_5_256_ld_256_256_2,Gemm_Hipblaslt_1286,0.0617339
GemmAndBiasTunableOp_float_TN,tn_4_5_256_ld_256_256_4,Gemm_Hipblaslt_1286,0.0394848
GemmAndBiasTunableOp_float_TN,tn_10_5_256_ld_256_256_10,Gemm_Hipblaslt_1286,0.0397746
GemmAndBiasTunableOp_float_TN,tn_128_282_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.138729
GemmAndBiasTunableOp_float_TN,tn_2_282_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0312918
GemmAndBiasTunableOp_float_TN,tn_4_282_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0314296
GemmAndBiasTunableOp_float_TN,tn_256_40_1152_ld_1152_1152_256,Gemm_Hipblaslt_1286,0.272877
GemmAndBiasTunableOp_float_TN,tn_2_40_256_ld_256_256_2,Gemm_Hipblaslt_1286,0.0425946
GemmAndBiasTunableOp_float_TN,tn_4_40_256_ld_256_256_4,Gemm_Hipblaslt_1286,0.0418316
GemmAndBiasTunableOp_float_TN,tn_10_40_256_ld_256_256_10,Gemm_Hipblaslt_1286,0.0412056
GemmAndBiasTunableOp_float_TN,tn_128_44_576_ld_576_576_128,Gemm_Hipblaslt_1286,0.027669
GemmAndBiasTunableOp_float_TN,tn_2_44_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0283971
GemmAndBiasTunableOp_float_TN,tn_4_44_128_ld_128_128_4,Gemm_Hipblaslt_1286,0.0465629
GemmAndBiasTunableOp_float_TN,tn_256_3_1152_ld_1152_1152_256,Gemm_Hipblaslt_1284,0.145112
GemmAndBiasTunableOp_float_TN,tn_2_3_256_ld_256_256_2,Gemm_Hipblaslt_1286,0.0407472
GemmAndBiasTunableOp_float_TN,tn_4_3_256_ld_256_256_4,Gemm_Hipblaslt_1286,0.0406409
GemmAndBiasTunableOp_float_TN,tn_10_3_256_ld_256_256_10,Gemm_Hipblaslt_1284,0.0261549
GemmAndBiasTunableOp_float_TN,tn_128_126_576_ld_576_576_128,Gemm_Hipblaslt_1287,0.104739
GemmAndBiasTunableOp_float_TN,tn_2_126_128_ld_128_128_2,Gemm_Hipblaslt_1286,0.0297405
GemmAndBiasTunableOp_float_TN,tn_4_126_128_ld_128_128_4,Gemm_Hipblaslt_1285,0.0236915
